Gender,Secondary Education Percentage (10th Grade),Higher Secondary Education Percentage (12th Grade),Specialization in Higher Secondary Education,Degree Percentage,Degree Type,Work Experience,MBA Specialization,MBA percentage,Placement Status,Salary
M,49.0,39.0,Science,65.0,Others,No,Mkt&Fin,51.21,Not Placed,
M,87.0,87.0,Commerce,68.0,Comm&Mgmt,No,Mkt&HR,62.9,Placed,3968.78
F,77.0,73.0,Commerce,81.0,Comm&Mgmt,Yes,Mkt&Fin,69.7,Placed,2645.85
F,76.0,64.0,Science,72.0,Sci&Tech,No,Mkt&HR,66.53,Not Placed,
F,70.89,71.98,Science,65.6,Comm&Mgmt,No,Mkt&HR,71.63,Not Placed,
M,63.0,60.0,Commerce,57.0,Comm&Mgmt,Yes,Mkt&Fin,54.55,Placed,2698.77
M,63.0,62.0,Commerce,68.0,Comm&Mgmt,No,Mkt&Fin,62.46,Placed,3307.32
F,50.0,37.0,Arts,52.0,Others,No,Mkt&HR,56.11,Not Placed,
F,75.2,73.2,Science,68.4,Comm&Mgmt,No,Mkt&HR,62.98,Placed,2645.85
M,54.4,61.12,Commerce,56.2,Comm&Mgmt,No,Mkt&HR,62.65,Not Placed,
F,40.89,45.83,Commerce,53.0,Comm&Mgmt,No,Mkt&HR,65.49,Not Placed,
M,80.0,70.0,Science,72.0,Sci&Tech,No,Mkt&HR,71.04,Placed,5953.17
F,74.0,60.0,Science,69.0,Comm&Mgmt,No,Mkt&HR,65.56,Placed,2857.52
M,60.4,66.6,Science,65.0,Comm&Mgmt,No,Mkt&HR,52.71,Placed,2910.44
M,63.0,71.4,Commerce,61.4,Comm&Mgmt,No,Mkt&Fin,66.88,Placed,3175.02
M,68.0,76.0,Commerce,74.0,Comm&Mgmt,No,Mkt&Fin,63.59,Placed,4762.53
M,74.0,62.0,Science,68.0,Comm&Mgmt,No,Mkt&Fin,57.99,Placed,3545.44
M,52.6,65.58,Science,72.11,Sci&Tech,No,Mkt&Fin,56.66,Placed,3505.75
M,74.0,70.0,Science,72.0,Comm&Mgmt,Yes,Mkt&Fin,57.24,Placed,3439.61
M,84.2,73.4,Commerce,66.89,Comm&Mgmt,No,Mkt&Fin,62.48,Placed,3968.78
F,86.5,64.2,Science,67.4,Sci&Tech,No,Mkt&Fin,59.69,Placed,3175.02
M,61.0,70.0,Commerce,64.0,Comm&Mgmt,No,Mkt&HR,59.5,Not Placed,
M,80.0,73.0,Commerce,75.0,Comm&Mgmt,No,Mkt&Fin,58.78,Placed,3175.02
M,54.0,47.0,Science,57.0,Comm&Mgmt,No,Mkt&HR,57.1,Not Placed,
M,83.0,74.0,Science,66.0,Comm&Mgmt,No,Mkt&HR,58.46,Placed,3638.05
M,80.92,78.5,Commerce,67.0,Comm&Mgmt,No,Mkt&Fin,60.99,Placed,3638.05
F,69.7,47.0,Commerce,72.7,Sci&Tech,No,Mkt&HR,59.24,Not Placed,
M,73.0,73.0,Science,66.0,Sci&Tech,Yes,Mkt&Fin,68.07,Placed,3638.05
M,82.0,61.0,Science,62.0,Sci&Tech,No,Mkt&Fin,65.45,Placed,4762.53
M,75.0,70.29,Commerce,71.0,Comm&Mgmt,No,Mkt&Fin,66.94,Placed,3175.02
M,84.86,67.0,Science,78.0,Comm&Mgmt,No,Mkt&Fin,68.53,Placed,3175.02
M,64.6,83.83,Commerce,71.72,Comm&Mgmt,No,Mkt&Fin,59.75,Placed,2883.98
M,56.6,64.8,Commerce,70.2,Comm&Mgmt,No,Mkt&Fin,67.2,Placed,4445.03
F,59.0,62.0,Commerce,77.5,Comm&Mgmt,No,Mkt&HR,67.0,Not Placed,
F,66.5,70.4,Arts,71.93,Comm&Mgmt,No,Mkt&Fin,64.27,Placed,3042.73
M,64.0,80.0,Science,65.0,Sci&Tech,Yes,Mkt&Fin,57.65,Placed,6614.63
M,84.0,90.9,Science,64.5,Sci&Tech,No,Mkt&Fin,59.42,Placed,3571.9
F,69.0,62.0,Science,66.0,Sci&Tech,No,Mkt&HR,67.99,Not Placed,
F,69.0,62.0,Commerce,69.0,Comm&Mgmt,Yes,Mkt&HR,62.35,Placed,3175.02
M,81.7,63.0,Science,67.0,Comm&Mgmt,Yes,Mkt&Fin,70.2,Placed,3968.78
M,63.0,67.0,Commerce,74.0,Comm&Mgmt,No,Mkt&Fin,60.44,Not Placed,
M,84.0,79.0,Science,68.0,Sci&Tech,Yes,Mkt&Fin,66.69,Placed,3968.78
M,70.0,63.0,Science,70.0,Sci&Tech,Yes,Mkt&Fin,62.0,Placed,3968.78
F,83.84,89.83,Commerce,77.2,Comm&Mgmt,Yes,Mkt&Fin,76.18,Placed,5291.71
M,62.0,63.0,Commerce,64.0,Comm&Mgmt,No,Mkt&Fin,57.03,Placed,2910.44
M,59.6,51.0,Science,60.0,Others,No,Mkt&HR,59.08,Not Placed,
F,66.0,62.0,Commerce,73.0,Comm&Mgmt,No,Mkt&HR,64.36,Placed,2778.15
F,84.0,75.0,Science,69.0,Sci&Tech,Yes,Mkt&HR,62.36,Placed,2778.15
F,85.0,90.0,Commerce,82.0,Comm&Mgmt,No,Mkt&Fin,68.03,Placed,3968.78
M,52.0,57.0,Commerce,50.8,Comm&Mgmt,No,Mkt&HR,62.79,Not Placed,
F,60.23,69.0,Science,66.0,Comm&Mgmt,No,Mkt&Fin,59.47,Placed,3042.73
M,52.0,62.0,Commerce,54.0,Comm&Mgmt,No,Mkt&HR,55.41,Not Placed,
M,58.0,62.0,Commerce,64.0,Comm&Mgmt,No,Mkt&Fin,54.97,Placed,3439.61
M,73.0,78.0,Commerce,65.0,Comm&Mgmt,Yes,Mkt&Fin,62.16,Placed,5556.29
F,76.0,70.0,Science,76.0,Comm&Mgmt,Yes,Mkt&Fin,64.44,Placed,3968.78
F,70.5,62.5,Commerce,61.0,Comm&Mgmt,No,Mkt&Fin,69.03,Not Placed,
F,69.0,73.0,Commerce,65.0,Comm&Mgmt,No,Mkt&Fin,57.31,Placed,2910.44
M,54.0,82.0,Commerce,63.0,Sci&Tech,No,Mkt&Fin,59.47,Not Placed,
F,45.0,57.0,Commerce,58.0,Comm&Mgmt,Yes,Mkt&HR,64.95,Not Placed,
M,63.0,72.0,Commerce,68.0,Comm&Mgmt,No,Mkt&HR,60.44,Placed,5027.12
F,77.0,61.0,Commerce,68.0,Comm&Mgmt,Yes,Mkt&Fin,61.31,Placed,3968.78
M,73.0,78.0,Science,73.0,Sci&Tech,Yes,Mkt&HR,65.83,Placed,3175.02
M,69.0,63.0,Science,65.0,Comm&Mgmt,Yes,Mkt&HR,58.23,Placed,4762.53
M,59.0,64.0,Science,58.0,Sci&Tech,No,Mkt&HR,55.3,Not Placed,
M,61.08,50.0,Science,54.0,Sci&Tech,No,Mkt&Fin,65.69,Not Placed,
M,82.0,90.0,Commerce,83.0,Comm&Mgmt,No,Mkt&HR,73.52,Placed,2645.85
M,61.0,82.0,Commerce,69.0,Comm&Mgmt,No,Mkt&Fin,58.31,Placed,3968.78
M,52.0,63.0,Science,65.0,Sci&Tech,Yes,Mkt&HR,56.09,Not Placed,
F,69.5,70.0,Science,72.0,Sci&Tech,No,Mkt&HR,54.8,Placed,3307.32
M,51.0,54.0,Science,61.0,Sci&Tech,No,Mkt&HR,60.64,Not Placed,
M,58.0,61.0,Commerce,61.0,Comm&Mgmt,No,Mkt&HR,53.94,Placed,3307.32
F,73.96,79.0,Commerce,67.0,Comm&Mgmt,No,Mkt&Fin,63.08,Placed,3704.19
M,65.0,68.0,Science,69.0,Comm&Mgmt,No,Mkt&HR,55.01,Placed,3307.32
F,73.0,63.0,Science,66.0,Comm&Mgmt,No,Mkt&Fin,60.5,Placed,2857.52
M,68.2,72.8,Commerce,66.6,Comm&Mgmt,Yes,Mkt&Fin,70.85,Placed,3968.78
M,77.0,75.0,Science,73.0,Sci&Tech,No,Mkt&Fin,67.05,Placed,3175.02
M,76.0,80.0,Science,78.0,Sci&Tech,Yes,Mkt&HR,70.48,Placed,3651.28
M,60.8,68.4,Commerce,64.6,Comm&Mgmt,Yes,Mkt&Fin,64.34,Placed,12435.51
M,58.0,40.0,Science,59.0,Comm&Mgmt,No,Mkt&HR,58.81,Not Placed,
F,64.0,67.0,Science,69.6,Sci&Tech,Yes,Mkt&HR,71.49,Placed,3307.32
F,66.5,66.8,Arts,69.3,Comm&Mgmt,Yes,Mkt&Fin,71.0,Placed,3122.11
M,74.0,59.0,Commerce,73.0,Comm&Mgmt,Yes,Mkt&HR,56.7,Placed,3175.02
M,67.0,71.0,Science,64.33,Others,Yes,Mkt&HR,61.26,Placed,3307.32
F,84.0,73.0,Commerce,73.0,Comm&Mgmt,No,Mkt&Fin,73.33,Placed,4630.24
F,79.0,61.0,Science,75.5,Sci&Tech,Yes,Mkt&Fin,68.2,Placed,2778.15
F,72.0,60.0,Science,69.0,Comm&Mgmt,No,Mkt&HR,58.4,Placed,3307.32
M,80.4,73.4,Science,77.72,Sci&Tech,Yes,Mkt&HR,76.26,Placed,5291.71
M,76.7,89.7,Commerce,66.0,Comm&Mgmt,Yes,Mkt&Fin,68.55,Placed,3307.32
M,62.0,65.0,Commerce,60.0,Comm&Mgmt,No,Mkt&Fin,64.15,Not Placed,
F,74.9,57.0,Science,62.0,Others,Yes,Mkt&Fin,60.78,Placed,4762.53
M,67.0,68.0,Commerce,64.0,Comm&Mgmt,Yes,Mkt&HR,53.49,Placed,3968.78
M,73.0,64.0,Commerce,77.0,Comm&Mgmt,Yes,Mkt&HR,60.98,Placed,3307.32
F,77.44,92.0,Commerce,72.0,Comm&Mgmt,Yes,Mkt&Fin,67.13,Placed,3307.32
F,72.0,56.0,Science,69.0,Comm&Mgmt,No,Mkt&HR,65.63,Placed,2645.85
F,47.0,59.0,Arts,64.0,Comm&Mgmt,No,Mkt&Fin,61.58,Not Placed,
M,67.0,63.0,Commerce,72.0,Comm&Mgmt,No,Mkt&HR,60.41,Placed,2976.58
F,82.0,64.0,Science,73.0,Sci&Tech,Yes,Mkt&Fin,71.77,Placed,3307.32
M,77.0,70.0,Commerce,59.0,Comm&Mgmt,Yes,Mkt&Fin,54.43,Placed,2910.44
M,65.0,64.8,Commerce,69.5,Comm&Mgmt,Yes,Mkt&Fin,56.94,Placed,3505.75
M,66.0,64.0,Science,60.0,Comm&Mgmt,No,Mkt&HR,61.9,Not Placed,
M,85.0,60.0,Science,73.43,Sci&Tech,Yes,Mkt&Fin,61.29,Placed,3439.61
M,77.67,64.89,Commerce,70.67,Comm&Mgmt,No,Mkt&Fin,60.39,Placed,3968.78
M,52.0,50.0,Arts,61.0,Comm&Mgmt,No,Mkt&Fin,58.52,Not Placed,
M,89.4,65.66,Science,71.25,Sci&Tech,No,Mkt&HR,63.23,Placed,5291.71
M,62.0,63.0,Science,66.0,Comm&Mgmt,No,Mkt&HR,55.14,Placed,3082.42
M,70.0,74.0,Commerce,65.0,Comm&Mgmt,No,Mkt&Fin,62.28,Placed,3968.78
F,77.0,86.0,Arts,56.0,Others,No,Mkt&Fin,64.08,Placed,3175.02
M,44.0,58.0,Arts,55.0,Comm&Mgmt,Yes,Mkt&HR,58.54,Not Placed,
M,71.0,58.66,Science,58.0,Sci&Tech,Yes,Mkt&Fin,61.3,Placed,9128.19
M,65.0,65.0,Commerce,75.0,Comm&Mgmt,No,Mkt&Fin,58.87,Placed,3571.9
F,75.4,60.5,Science,84.0,Sci&Tech,No,Mkt&Fin,65.25,Placed,3175.02
M,49.0,59.0,Science,65.0,Sci&Tech,Yes,Mkt&Fin,62.48,Placed,4497.95
M,53.0,63.0,Science,60.0,Comm&Mgmt,Yes,Mkt&Fin,53.2,Placed,3307.32
M,51.57,74.66,Commerce,59.9,Comm&Mgmt,Yes,Mkt&HR,65.99,Not Placed,
M,84.2,69.4,Science,65.0,Sci&Tech,Yes,Mkt&HR,52.72,Placed,3373.46
M,66.5,62.5,Commerce,60.9,Comm&Mgmt,No,Mkt&Fin,55.03,Placed,3968.78
M,67.0,63.0,Science,64.0,Sci&Tech,No,Mkt&Fin,61.87,Not Placed,
M,52.0,49.0,Commerce,58.0,Comm&Mgmt,No,Mkt&HR,60.59,Not Placed,
M,87.0,74.0,Science,65.0,Sci&Tech,Yes,Mkt&HR,72.29,Placed,3968.78
M,55.6,51.0,Commerce,57.5,Comm&Mgmt,No,Mkt&HR,62.72,Not Placed,
M,74.2,87.6,Commerce,77.25,Comm&Mgmt,Yes,Mkt&Fin,66.06,Placed,3770.34
M,63.0,67.0,Science,64.0,Sci&Tech,No,Mkt&Fin,66.46,Placed,6614.63
F,67.16,72.5,Commerce,63.35,Comm&Mgmt,No,Mkt&Fin,65.52,Placed,3307.32
F,63.3,78.33,Commerce,74.0,Comm&Mgmt,No,Mkt&Fin,74.56,Not Placed,
M,62.0,62.0,Commerce,60.0,Comm&Mgmt,Yes,Mkt&HR,52.38,Placed,3175.02
M,67.9,62.0,Science,67.0,Sci&Tech,Yes,Mkt&Fin,75.71,Not Placed,
F,48.0,51.0,Commerce,58.0,Comm&Mgmt,Yes,Mkt&HR,58.79,Not Placed,
M,59.96,42.16,Science,61.26,Sci&Tech,No,Mkt&HR,65.48,Not Placed,
F,63.4,67.2,Commerce,60.0,Comm&Mgmt,No,Mkt&HR,69.28,Not Placed,
M,80.0,80.0,Commerce,72.0,Comm&Mgmt,Yes,Mkt&Fin,66.04,Placed,3836.49
M,73.0,58.0,Commerce,56.0,Comm&Mgmt,No,Mkt&HR,52.64,Placed,3968.78
F,52.0,52.0,Science,55.0,Sci&Tech,No,Mkt&HR,59.32,Not Placed,
M,73.24,50.83,Science,64.27,Sci&Tech,Yes,Mkt&Fin,66.23,Placed,6614.63
M,63.0,62.0,Science,65.0,Sci&Tech,No,Mkt&HR,60.69,Not Placed,
F,59.0,60.0,Commerce,56.0,Comm&Mgmt,No,Mkt&HR,57.9,Placed,2910.44
F,73.0,97.0,Commerce,79.0,Comm&Mgmt,Yes,Mkt&Fin,70.81,Placed,8599.02
M,68.0,56.0,Science,68.0,Sci&Tech,No,Mkt&HR,68.07,Placed,4630.24
F,77.8,64.0,Science,64.2,Sci&Tech,No,Mkt&HR,72.14,Not Placed,
M,65.0,71.5,Commerce,62.8,Comm&Mgmt,Yes,Mkt&Fin,56.6,Placed,3505.75
M,62.0,60.33,Science,64.21,Sci&Tech,No,Mkt&HR,60.02,Not Placed,
M,52.0,65.0,Arts,57.0,Others,Yes,Mkt&Fin,59.81,Not Placed,
M,65.0,77.0,Commerce,69.0,Comm&Mgmt,No,Mkt&HR,61.82,Placed,3651.28
F,56.28,62.83,Commerce,59.79,Comm&Mgmt,No,Mkt&HR,57.29,Not Placed,
F,88.0,72.0,Science,78.0,Others,No,Mkt&HR,71.43,Placed,3333.77
F,52.0,64.0,Commerce,61.0,Comm&Mgmt,No,Mkt&Fin,62.93,Not Placed,
M,78.5,65.5,Science,67.0,Sci&Tech,Yes,Mkt&Fin,64.86,Placed,3704.19
M,61.8,47.0,Commerce,54.38,Comm&Mgmt,No,Mkt&Fin,56.13,Not Placed,
F,54.0,77.6,Commerce,69.2,Comm&Mgmt,No,Mkt&Fin,66.94,Not Placed,
F,64.0,70.2,Commerce,61.0,Comm&Mgmt,No,Mkt&Fin,62.5,Not Placed,
M,67.0,61.0,Science,72.0,Comm&Mgmt,No,Mkt&Fin,61.01,Placed,3492.53
M,65.2,61.4,Commerce,64.8,Comm&Mgmt,Yes,Mkt&Fin,57.34,Placed,3571.9
F,60.0,63.0,Arts,56.0,Others,Yes,Mkt&HR,56.63,Placed,3968.78
M,52.0,55.0,Commerce,56.3,Comm&Mgmt,No,Mkt&Fin,64.74,Not Placed,
M,66.0,76.0,Commerce,72.0,Comm&Mgmt,Yes,Mkt&HR,58.95,Placed,3638.05
M,72.0,63.0,Science,77.5,Sci&Tech,Yes,Mkt&Fin,54.48,Placed,3307.32
F,83.96,53.0,Science,91.0,Sci&Tech,No,Mkt&HR,69.71,Placed,3439.61
F,67.0,70.0,Commerce,65.0,Others,No,Mkt&HR,71.96,Not Placed,
M,69.0,65.0,Commerce,57.0,Comm&Mgmt,No,Mkt&HR,55.8,Placed,3505.75
M,69.0,60.0,Commerce,65.0,Comm&Mgmt,No,Mkt&Fin,52.81,Placed,3968.78
M,54.2,63.0,Science,58.0,Comm&Mgmt,No,Mkt&HR,58.44,Not Placed,
M,70.0,63.0,Science,66.0,Sci&Tech,No,Mkt&HR,60.11,Placed,3175.02
M,55.68,61.33,Commerce,56.87,Comm&Mgmt,No,Mkt&HR,58.3,Placed,3439.61
F,74.0,73.0,Commerce,73.0,Comm&Mgmt,Yes,Mkt&Fin,67.69,Placed,2778.15
M,61.0,62.0,Commerce,65.0,Comm&Mgmt,No,Mkt&Fin,56.81,Placed,3307.32
M,41.0,42.0,Science,60.0,Comm&Mgmt,No,Mkt&Fin,53.39,Not Placed,
M,83.33,78.0,Commerce,61.0,Comm&Mgmt,Yes,Mkt&Fin,71.55,Placed,3968.78
F,43.0,60.0,Science,65.0,Comm&Mgmt,No,Mkt&HR,62.92,Not Placed,
M,62.0,72.0,Commerce,65.0,Comm&Mgmt,No,Mkt&Fin,56.49,Placed,2857.52
M,80.6,82.0,Commerce,77.6,Comm&Mgmt,No,Mkt&Fin,74.49,Placed,5291.71
M,58.0,60.0,Science,72.0,Sci&Tech,No,Mkt&Fin,53.62,Placed,3638.05
M,67.0,67.0,Commerce,73.0,Comm&Mgmt,Yes,Mkt&Fin,69.72,Placed,3902.63
F,74.0,66.0,Commerce,58.0,Comm&Mgmt,No,Mkt&HR,60.23,Placed,2698.77
M,62.0,58.0,Science,53.0,Comm&Mgmt,No,Mkt&HR,60.22,Not Placed,
